First Hash - Ehe -- Second Ehe  (sagen,1) (Verhältnis,1) (selbstverständlich,1) (schlagen,1) (Bett,1) (müssen,1)
First Hash - schrecklich -- Second schrecklich  (eintreten,1) (sein,2) (laufen,1) (Eintritt,1) (genau,1)
First Hash - Rat -- Second Rat  (können,1) (Eltern,1) (sein,1) (auftreten,1) (Schwester,2) (geben,1) (Nebenzimmer,1) (früh,1) (Mutter,1) (Zeit,1) (Grund,1)
First Hash - Schwindelanfall -- Second Schwindelanfall  (leicht,1) (Unwohlsein,1) (haben,1) (verhindern,1) (augenblicklich,1) (aufstehen,1)
First Hash - sollen -- Second sollen  (setzen,1) (zucken,1) (Herz,1) (Wand,1) (tun,2) (Leben,1) (Zeichen,1) (Gregor,5) (rufen,2) (Sorge,1) (Teufel,1) (wirklich,2) (letzter,1) (haben,8) (mitleidig,1) (befriedigt,1) (fühlen,1) (zeigen,1) (Feingefühl,1) (halb,1) (Arbeit,1) (zurückschicken,1) (äußerer,1) (Schlüssel,2) (schlafen,1) (lassen,2) (Frühstück,1) (entfernen,1) (zwingen,2) (Ende,1) (essen,1) (Fenster,1) (Asthma,1) (Wecker,1) (Beratung,1) (Schwester,4) (Zeug,1) (sprechen,2) (sitzen,2) (Herr,2) (frei,1) (denken,1) (holen,1) (übersiedeln,1) (gut,1) (Tür,1) (dürfen,1) (Hilfe,1) (fest,2) (Eltern,2) (leben,1) (versuchen,1) (Kopf,1) (verlieren,1) (aufrütteln,1) (nähern,1) (zurückziehen,1) (wollen,1) (hören,1) (verstehen,1) (übrig,1) (menschlich,1) (Zug,1) (Verständnis,1) (Preis,1) (bleiben,2) (Empfindung,1) (Küche,1) (Angreifer,1) (verbringen,1) (entgegenfauchen,1) (können,1) (Schloß,1) (Besinnung,1) (gleich,1) (wegschaffen,1) (persönlich,1) (brauchen,1) (läuten,1) (Gedanke,2) (Zimmer,1) (retten,1) (leicht,1) (Kind,1) (Ohr,1) (Leistung,1) (Zeit,1) (hoch,1) (Vorstellung,1) (Vater,1) (neu,1) (wehtun,1) (Zahn,2) (erfahren,1) (alt,1) (müssen,2) (eigentlich,1) (Schrecken,1) (Wunde,1) (Not,1) (Aufmunterung,1) (auffallend,1) (umdrehen,1) (»,1) (gefährden,1) (Rücksicht,1) (sagen,2) (sein,6) (nächster,1) (Chef,1) (Kasten,1) (ordnen,1) (nützlich,1) (Verkehr,1) (zurufen,1) (nehmen,1) (langsam,1) (leer,2) (wissen,2) (Mahlzeit,1) (Geld,2) (wahrscheinlich,1) (fassen,1) (verhalten,1) (machen,1) (freiwillig,2) (verletzen,1) (Kanapee,1) (Mutter,5) (sehen,2) (werden,9) (Schreckgestalt,1) (verdienen,2)
First Hash - angreifen -- Second angreifen  (sein,2) (zurücklegen,1) (Summe,1) (Notfall,1) (dürfen,1)
First Hash - üppig -- Second üppig  (sein,1) (schön,1) (haben,1) (aufblühen,1) (machen,1) (Mädchen,1)
First Hash - unsicher -- Second unsicher  (Zimmer,2) (zurückstoßen,1) (scheinen,1) (Unruhe,1) (Schwester,1) (beschatten,1) (verstummen,1) (Wohnzimmer,1) (sehen,1) (Hand,1) (abbringen,1)
First Hash - Drehung -- Second Drehung  (besinnungslos,1) (Schloß,1) (Schlüssel,2) (umtanzen,1) (Fortschreiten,1)
First Hash - entfernt -- Second entfernt  (gegenwärtig,1) (gegenüberliegend,1) (undeutlich,1) (liegen,1) (Bewegung,1) (weit,1) (Verfassung,1) (springen,1) (fallen,1) (anderer,1) (öffnen,1) (Türflügel,1) (Boden,1) (Mutter,1) (sehen,1) (Tag,2) (Ding,1)
First Hash - erinnern -- Second erinnern  (gegenwärtig,1) (gut,1) (kommen,2) (verzweifelt,1) (früh,1) (entscheiden,1) (liegen,1) (groß,1) (dürfen,1) (Entschluß,1) (Gregor,2) (erzählen,1) (befreien,1) (haben,2) (ganz,1) (vernünftig,1) (bedenken,1) (Zeitpunkt,1) (Leistung,1) (spät,1) (Zeit,1) (Eile,1) (Vater,1) (Violine,1) (Ende,1) (Beseitigung,1) (gleichzeitig,1) (scheinen,1) (Abend,1) (vergessen,1) (Bett,1) (ungeschickt,1) (sitzen,1)
